"","x"
"1",0
"2",1
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",1
"16",0
"17",0
"18",0
"19",1
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0
"31",0
"32",0
"33",2
"34",0
"35",0
"36",1
"37",1
"38",1
"39",0
"40",0
"41",0
"42",1
"43",1
"44",0
"45",0
"46",1
"47",0
"48",0
"49",1
"50",0
"51",0
"52",0
"53",0
"54",2
"55",0
"56",0
"57",0
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",1
"65",1
"66",0
"67",0
"68",0
"69",3
"70",2
"71",2
"72",1
"73",1
"74",1
"75",1
"76",1
"77",2
"78",2
"79",4
"80",6
"81",5
"82",1
"83",0
"84",1
"85",1
"86",1
"87",0
"88",0
"89",0
"90",1
"91",0
"92",1
"93",0
"94",0
"95",0
"96",0
"97",1
"98",0
"99",1
"100",2
"101",0
"102",1
"103",0
"104",1
"105",0
"106",1
"107",0
"108",2
"109",2
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",1
"129",0
"130",0
"131",0
"132",2
"133",0
"134",0
"135",1
"136",0
"137",0
"138",1
"139",0
"140",0
"141",0
"142",0
"143",1
"144",0
"145",1
"146",0
"147",3
"148",1
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",2
"156",0
"157",1
"158",0
"159",1
"160",0
"161",1
"162",1
"163",0
"164",1
"165",0
"166",0
"167",0
"168",1
"169",0
"170",0
"171",4
"172",1
"173",3
"174",2
"175",5
"176",1
"177",0
"178",0
"179",1
"180",1
"181",7
"182",3
"183",4
"184",3
"185",4
"186",3
"187",3
"188",2
"189",1
"190",5
"191",2
"192",2
"193",1
"194",3
"195",5
"196",6
"197",2
"198",4
"199",3
"200",0
"201",1
"202",0
"203",0
"204",3
"205",4
"206",3
"207",0
"208",1
"209",4
"210",3
"211",1
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",0
"219",0
"220",1
"221",1
"222",0
"223",1
"224",1
"225",0
"226",0
"227",0
"228",2
"229",1
"230",2
"231",0
"232",0
"233",0
"234",0
"235",0
"236",1
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",1
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",1
"261",1
"262",0
"263",1
"264",2
"265",0
"266",2
"267",5
"268",0
"269",0
"270",0
"271",0
"272",1
"273",1
"274",1
"275",0
"276",0
"277",1
"278",1
"279",0
"280",1
"281",0
"282",0
"283",3
"284",1
"285",2
"286",2
"287",1
"288",0
"289",2
"290",5
"291",1
"292",0
"293",2
"294",1
"295",3
"296",3
"297",0
"298",0
"299",1
"300",0
"301",0
"302",0
"303",0
"304",0
"305",1
"306",0
"307",0
"308",1
"309",2
"310",1
"311",1
"312",0
"313",1
"314",0
"315",0
"316",0
"317",1
"318",1
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
