"","x"
"1",0
"2",0.0167000147598778
"3",0.0801241616699863
"4",0.117031969805203
"5",0.125607036159816
"6",0.119225263730443
"7",0.105879247138014
"8",0.090173850405046
"9",0.0746208866898646
"10",0.0604678326202729
"11",0.0482215082992206
"12",0.0379739501794796
"13",0.0296012422372072
"14",0.0228816634631825
"15",0.0175632916285911
"16",0.0134004920743853
"17",0.0101716893609906
"18",0.00768623564283291
"19",0.00578522426334345
"20",0.00433919646861076
"21",0.00324448463350322
"22",0.00241918269063062
"23",0.00179927250107859
"24",0.00133515814753831
"25",0.000988699840864827
"26",0.000730750913124601
"27",0.000539156820768594
"28",0.000397156226830742
"29",0.000292119875957253
"30",0.000214566261368266
"31",0.000157399923656643
"32",0.000115326263559989
"33",8.44047092577683e-05
"34",6.17093199940078e-05
"35",4.50721720059333e-05
"36",3.28901126334991e-05
"37",2.39797506905726e-05
"38",1.74689863651212e-05
"39",1.2716103165511e-05
"40",9.2495725595221e-06
"41",6.72337216935937e-06
"42",4.88388952424313e-06
"43",3.54545424334774e-06
"44",2.57228139239896e-06
"45",1.86516745850352e-06
"46",1.35170314943256e-06
"47",9.79083195695731e-07
"48",7.08830720141941e-07
"49",5.12931553853236e-07
"50",3.71004298993506e-07
"51",2.68231187883217e-07
"52",1.93846513107943e-07
"53",1.40033654427718e-07
"54",1.01120485829221e-07
"55",7.29936186827375e-08
"56",5.26714600157519e-08
"57",3.7994104995498e-08
"58",2.73976459297388e-08
"59",1.97501915710774e-08
"60",1.42329699359678e-08
"61",1.02539212898379e-08
"62",7.38513248332853e-09
"63",5.31749839716157e-09
"64",3.82769278495232e-09
"65",2.75458482690283e-09
"66",1.98180827304385e-09
"67",1.42547755821454e-09
"68",1.02510118171751e-09
"69",7.36987626481778e-10
"70",5.29761168266419e-10
"71",3.80659392895668e-10
"72",2.73531863825839e-10
"73",1.96486271697439e-10
"74",1.41112055374038e-10
"75",1.01326702584004e-10
"76",7.27497395658363e-11
"77",5.22053733575946e-11
"78",3.74681174974968e-11
"79",2.69056776858179e-11
"80",1.92891924655215e-11
"81",1.38603795107884e-11
"82",9.93343185484723e-12
"83",7.1007200119766e-12
"84",5.10529396535732e-12
"85",3.63062913066871e-12
"86",2.62903032677287e-12
"87",1.86877180397006e-12
"88",1.32185373757921e-12
"89",9.63096269401833e-13
"90",6.78879175097793e-13
"91",4.94226881642137e-13
"92",3.68238772807674e-13
"93",2.35655939206936e-13
"94",1.98174809895591e-13
"95",1.02073904884037e-13
"96",1.0351719481605e-13
"97",5.94635451989236e-14
"98",3.41060513164849e-14
"99",2.18269846641306e-14
"100",3.69704267200178e-14
"101",2.14939177567431e-14
"102",8.41549052665876e-15
"103",8.77076189453879e-15
"104",0
"105",1.0502709812954e-14
"106",2.61346499996762e-14
"107",0
"108",0
"109",1.27897692436818e-14
"110",1.84297022087776e-15
"111",2.18935980456081e-14
"112",1.54543045027822e-14
"113",0
"114",0
"115",6.43929354282591e-15
"116",3.86357612569555e-15
"117",3.21964677141295e-15
"118",1.93178806284777e-15
"119",0
"120",1.93178806284777e-15
"121",2.8421709430404e-14
"122",1.28785870856518e-15
"123",0
"124",6.43929354282591e-16
"125",0
"126",6.43929354282591e-16
"127",0
"128",6.43929354282591e-16
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
