"","x"
"1",0
"2",1.165
"3",2.028
"4",2.747
"5",6.362
"6",7.407
"7",5.193
"8",5.297
"9",6.309
"10",5.489
"11",6.901
"12",8.097
"13",9.274
"14",9.842
"15",8.575
"16",14.082
"17",17.357
"18",15.006
"19",19.386
"20",21.792
"21",22.485
"22",23.63
"23",20.156
"24",21.643
"25",25.3
"26",36.202
"27",49.238
"28",47.613
"29",49.044
"30",54.785
"31",60.662
"32",145.458
"33",217.516
"34",219.852
"35",221.729
"36",231.512
"37",242.236
"38",254.12
"39",268.376
"40",251.105
"41",266.542
"42",265.626
"43",231.001
"44",207.044
"45",183.222
"46",266.048
"47",305.834
"48",222.182
"49",172.83
"50",144.45
"51",129.655
"52",122.272
"53",102.471
"54",87.375
"55",77.268
"56",82.469
"57",80.967
"58",62.542
"59",55.832
"60",54.026
"61",53.287
"62",48.624
"63",44.124
"64",43.144
"65",36.138
"66",28.03
"67",21.052
"68",17.847
"69",16.168
"70",13.497
"71",11.314
"72",10.874
"73",9.5
"74",6.456
"75",5.469
"76",5.669
"77",7.452
"78",8.186
"79",6.972
"80",6.489
"81",6.021
"82",5.536
"83",4.34
"84",3.004
"85",2.5
"86",2.489
"87",3.884
"88",4.877
"89",3.804
"90",2.72
"91",2.592
"92",2.306
"93",1.464
"94",0.767
"95",0.39
"96",0.2
"97",0.102
"98",0.047
"99",0.021
"100",0.011
"101",0.005
"102",0.001
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
