"","x"
"1",0
"2",0.001
"3",0.012
"4",0.043
"5",0.079
"6",0.116
"7",0.16
"8",0.196
"9",0.236
"10",0.299
"11",0.376
"12",0.49
"13",0.632
"14",0.768
"15",0.882
"16",0.949
"17",0.956
"18",0.91
"19",0.861
"20",0.882
"21",0.958
"22",1.103
"23",1.438
"24",2.246
"25",3.854
"26",6.31
"27",9.119
"28",11.636
"29",13.63
"30",15.11
"31",16.245
"32",17.303
"33",18.345
"34",19.434
"35",20.398
"36",20.936
"37",21.164
"38",21.244
"39",21.504
"40",22.879
"41",26.683
"42",32.72
"43",39.516
"44",45.634
"45",49.904
"46",51.926
"47",51.908
"48",50.577
"49",48.611
"50",46.242
"51",43.732
"52",41.218
"53",39.054
"54",37.29
"55",35.839
"56",34.411
"57",32.663
"58",30.775
"59",28.873
"60",27.002
"61",25.11
"62",23.304
"63",21.658
"64",20.206
"65",18.922
"66",17.847
"67",16.869
"68",15.802
"69",14.605
"70",13.349
"71",12.251
"72",11.413
"73",10.849
"74",10.471
"75",10.18
"76",9.958
"77",9.655
"78",9.248
"79",8.685
"80",8.018
"81",7.361
"82",6.756
"83",6.251
"84",5.856
"85",5.552
"86",5.361
"87",5.177
"88",4.955
"89",4.687
"90",4.446
"91",4.235
"92",4.037
"93",3.884
"94",3.725
"95",3.532
"96",3.286
"97",2.984
"98",2.674
"99",2.442
"100",2.282
"101",2.161
"102",2.035
"103",1.905
"104",1.765
"105",1.63
"106",1.499
"107",1.381
"108",1.266
"109",1.176
"110",1.083
"111",0.975
"112",0.848
"113",0.713
"114",0.585
"115",0.464
"116",0.359
"117",0.277
"118",0.206
"119",0.153
"120",0.11
"121",0.079
"122",0.054
"123",0.038
"124",0.027
"125",0.017
"126",0.012
"127",0.008
"128",0.005
"129",0.002
"130",0.002
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
